Shippment ID;Shipping Type;Frequency of Purchases
2643;Standard;Quarterly
2921;Next Day Air;Monthly
2104;Store Pickup;Bi-Weekly
3092;Free Shipping;Fortnightly
3818;Free Shipping;Bi-Weekly
1043;Standard;Bi-Weekly
1970;Free Shipping;Bi-Weekly
1628;Next Day Air;Every 3 Months
311;Next Day Air;Monthly
3246;Standard;Quarterly
1195;Store Pickup;Bi-Weekly
3678;Next Day Air;Weekly
559;Free Shipping;Fortnightly
3766;2-Day Shipping;Weekly
874;Express;Bi-Weekly
287;Standard;Fortnightly
1329;Next Day Air;Annually
2807;Standard;Weekly
3178;2-Day Shipping;Annually
1303;Store Pickup;Weekly
1550;Store Pickup;Every 3 Months
2398;Store Pickup;Annually
3313;Store Pickup;Weekly
635;Standard;Every 3 Months
3129;Store Pickup;Quarterly
1432;Free Shipping;Annually
1830;Store Pickup;Bi-Weekly
2338;2-Day Shipping;Weekly
1849;Express;Monthly
1614;Free Shipping;Quarterly
2361;2-Day Shipping;Fortnightly
2752;Free Shipping;Annually
29;2-Day Shipping;Quarterly
3358;Express;Every 3 Months
1801;Express;Weekly
3342;Free Shipping;Monthly
3636;Next Day Air;Every 3 Months
2884;Express;Every 3 Months
2193;Standard;Bi-Weekly
2047;Free Shipping;Every 3 Months
264;Free Shipping;Quarterly
1399;Next Day Air;Annually
38;Standard;Fortnightly
2258;Free Shipping;Monthly
2415;Express;Annually
1920;Next Day Air;Annually
1471;Next Day Air;Every 3 Months
474;Next Day Air;Bi-Weekly
939;Standard;Annually
3152;2-Day Shipping;Quarterly
604;2-Day Shipping;Bi-Weekly
398;2-Day Shipping;Quarterly
2757;Free Shipping;Annually
3131;Next Day Air;Every 3 Months
470;Next Day Air;Every 3 Months
1095;2-Day Shipping;Annually
1759;Store Pickup;Every 3 Months
1722;Free Shipping;Bi-Weekly
2507;Free Shipping;Fortnightly
1506;Free Shipping;Weekly
2553;Store Pickup;Bi-Weekly
820;2-Day Shipping;Bi-Weekly
2369;Standard;Bi-Weekly
1924;Free Shipping;Quarterly
3876;Next Day Air;Fortnightly
716;Express;Monthly
2741;Next Day Air;Monthly
1632;Store Pickup;Bi-Weekly
3139;2-Day Shipping;Annually
235;2-Day Shipping;Every 3 Months
2441;Free Shipping;Monthly
1828;Free Shipping;Every 3 Months
1625;2-Day Shipping;Weekly
3249;Next Day Air;Fortnightly
289;Express;Every 3 Months
2859;Free Shipping;Monthly
177;Express;Bi-Weekly
2124;2-Day Shipping;Weekly
967;Store Pickup;Quarterly
948;Store Pickup;Quarterly
2237;Next Day Air;Weekly
3525;Next Day Air;Every 3 Months
2699;Store Pickup;Annually
1392;Standard;Every 3 Months
62;Next Day Air;Monthly
2676;Standard;Bi-Weekly
2810;Next Day Air;Annually
67;Free Shipping;Fortnightly
3552;Free Shipping;Quarterly
2577;Standard;Annually
1535;Store Pickup;Weekly
1281;Express;Bi-Weekly
3228;Next Day Air;Annually
839;Store Pickup;Quarterly
403;Standard;Fortnightly
1763;2-Day Shipping;Quarterly
2924;Standard;Fortnightly
1537;Express;Weekly
1226;Free Shipping;Annually
421;Express;Annually
1713;Free Shipping;Quarterly
3618;Standard;Fortnightly
2966;Free Shipping;Fortnightly
654;Free Shipping;Fortnightly
3295;Next Day Air;Annually
2161;Standard;Monthly
165;2-Day Shipping;Weekly
201;2-Day Shipping;Every 3 Months
1485;Next Day Air;Monthly
3893;Express;Every 3 Months
1124;Standard;Weekly
2287;Store Pickup;Weekly
471;Express;Fortnightly
1891;Standard;Annually
2793;2-Day Shipping;Weekly
2024;Express;Weekly
1425;Free Shipping;Quarterly
2196;Next Day Air;Quarterly
2342;Next Day Air;Annually
2894;Store Pickup;Monthly
2079;Next Day Air;Bi-Weekly
1364;Store Pickup;Fortnightly
2972;2-Day Shipping;Monthly
3301;Standard;Weekly
1324;2-Day Shipping;Annually
310;Standard;Quarterly
1984;Standard;Weekly
3649;Next Day Air;Annually
3177;Express;Bi-Weekly
3886;Standard;Annually
3322;Free Shipping;Monthly
76;Standard;Monthly
3140;Next Day Air;Every 3 Months
2701;Express;Bi-Weekly
916;Free Shipping;Every 3 Months
3732;Express;Fortnightly
461;Store Pickup;Fortnightly
116;Express;Annually
1774;Free Shipping;Monthly
3409;Express;Quarterly
3533;Standard;Quarterly
1359;Free Shipping;Every 3 Months
3456;Free Shipping;Every 3 Months
2215;Standard;Weekly
193;Free Shipping;Quarterly
1676;Express;Fortnightly
3005;Express;Annually
2854;Standard;Fortnightly
1286;Free Shipping;Weekly
2593;Free Shipping;Fortnightly
3684;2-Day Shipping;Every 3 Months
2630;Next Day Air;Every 3 Months
167;2-Day Shipping;Weekly
908;Free Shipping;Every 3 Months
3469;2-Day Shipping;Quarterly
347;Express;Bi-Weekly
1679;Free Shipping;Fortnightly
3221;Free Shipping;Fortnightly
1546;Express;Every 3 Months
46;Free Shipping;Quarterly
2504;Express;Fortnightly
2970;2-Day Shipping;Monthly
2746;Next Day Air;Monthly
2318;Free Shipping;Every 3 Months
434;Next Day Air;Quarterly
341;Standard;Annually
175;Express;Every 3 Months
1268;2-Day Shipping;Fortnightly
849;Next Day Air;Every 3 Months
135;Express;Fortnightly
3735;2-Day Shipping;Every 3 Months
3182;Free Shipping;Annually
2023;2-Day Shipping;Weekly
1443;Store Pickup;Bi-Weekly
2325;Free Shipping;Annually
2051;Next Day Air;Quarterly
951;Free Shipping;Quarterly
3596;Store Pickup;Every 3 Months
2424;Store Pickup;Quarterly
2144;2-Day Shipping;Bi-Weekly
119;Next Day Air;Annually
2064;Standard;Monthly
1381;Next Day Air;Monthly
2709;Free Shipping;Fortnightly
1726;Express;Fortnightly
1751;Store Pickup;Every 3 Months
2974;2-Day Shipping;Fortnightly
3607;Standard;Monthly
2102;2-Day Shipping;Annually
3193;Free Shipping;Annually
2785;Next Day Air;Every 3 Months
3083;2-Day Shipping;Every 3 Months
1119;Standard;Monthly
2145;Standard;Weekly
3061;2-Day Shipping;Bi-Weekly
2163;2-Day Shipping;Annually
384;2-Day Shipping;Annually
2900;Next Day Air;Monthly
297;2-Day Shipping;Annually
2843;Free Shipping;Quarterly
978;Free Shipping;Monthly
1448;2-Day Shipping;Weekly
3234;Free Shipping;Fortnightly
1699;Next Day Air;Fortnightly
2882;Express;Weekly
2501;Free Shipping;Quarterly
3363;Express;Quarterly
2195;Express;Quarterly
2071;Standard;Bi-Weekly
2684;Express;Annually
3779;Standard;Annually
2856;Free Shipping;Quarterly
2474;Standard;Fortnightly
1976;Store Pickup;Bi-Weekly
1310;2-Day Shipping;Every 3 Months
3839;2-Day Shipping;Weekly
2841;Store Pickup;Bi-Weekly
1132;Standard;Quarterly
1071;Express;Weekly
3402;Store Pickup;Quarterly
